Crop,N_test,RMSE,MAE,MSE,R2,MAPE
Barley,221,1075.6379591764542,877.1066695963856,1156997.0192212875,0.5630439422051015,0.2767481861028534
Wheat,220,1097.5947304255365,853.3100484761621,1204714.192257906,0.7165449196554861,0.2316833810361839
Maize,169,2288.584479784834,1829.0079105919315,5237618.921112019,0.2058733871030467,0.3458161349352267
