feature_rule,weight
ITEM_Maize <= 0.00,-1579.030730109589
WB_CCKP_TNN <= -0.57,-871.4903810602275
ITEM_Barley <= 0.00,475.78242243005394
WB_CCKP_TX84RR > 0.60,374.98883740998184
WB_CCKP_CDD <= -0.51,307.2986122499906
WB_CCKP_HDD65 > 0.38,-288.59952445801304
WB_CCKP_FD > 0.53,-286.0134633259
-0.38 < WB_CCKP_TR23 <= 0.58,-217.8631060948317
-0.83 < WB_CCKP_SD <= -0.23,185.97473851136823
WB_CCKP_ID <= -0.54,-182.19180324613998
