feature_rule,weight
0.00 < ITEM_Maize <= 1.00,1583.1623255214454
ITEM_Barley <= 0.00,534.7328325886373
WB_CCKP_PR > 0.44,433.80711769451125
-0.57 < WB_CCKP_TNN <= -0.04,-402.9610961391571
WB_CCKP_SD <= -0.83,320.56584709798886
WB_CCKP_TX84RR <= -0.76,-305.787656458918
WB_CCKP_FD > 0.53,-262.40036548139165
WB_CCKP_HDD65 > 0.38,-238.71438337423396
WB_CCKP_CDD65 <= -0.80,224.91136834072137
WB_CCKP_TR23 <= -0.79,217.3151827810993
