mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.0699745019276936,0.1147216926681245,0.036682685216267906,0.0004790930763476255,squared_error,10,sqrt,2,5,200,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-1307946.371407369,-1259824.3837795632,-1248525.5116748225,-1272098.7556205848,25764.378456924944,161
1.5381903648376465,0.03816288230105405,0.05935223897298177,0.0024811947821376805,squared_error,10,sqrt,2,5,300,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",-1305109.2851219072,-1267540.6052408116,-1254557.5795161924,-1275735.8232929704,21435.794582948358,177
2.0080544153849282,0.028034967938068273,0.07303643226623535,0.0021094480147279874,squared_error,10,sqrt,2,5,400,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}",-1304893.7983260497,-1266946.0763388188,-1255805.4741818863,-1275881.7829489182,21012.710935478168,179
0.45891396204630536,0.009005084350722652,0.019156694412231445,0.00024445427922750577,squared_error,10,sqrt,2,10,100,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-1378464.8981754312,-1318008.5153700886,-1302762.4718393956,-1333078.6284616385,32690.932175296974,373
0.9213866392771403,0.005096963969135251,0.035389105478922524,0.001178939579398432,squared_error,10,sqrt,2,10,200,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-1381275.172419274,-1305849.805175859,-1282314.2693322587,-1323146.4156424638,42211.33051029866,351
1.823330561319987,0.29045448572912697,0.0730275313059489,0.017383488329225767,squared_error,10,sqrt,2,10,300,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",-1389407.1631477482,-1302386.653545152,-1276827.2580095015,-1322873.6915674673,48189.54108815177,349
1.9900821844736736,0.1777183148517894,0.07779018084208171,0.013057158806782794,squared_error,10,sqrt,2,10,400,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 400}",-1376159.3665766353,-1304591.6910617906,-1286844.113647529,-1322531.7237619848,38606.451804593424,347
0.46129751205444336,0.018676521337244508,0.020334641138712566,0.0015492431850267848,squared_error,10,sqrt,4,2,100,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-1418995.040627667,-1340858.1064215144,-1325919.1180413028,-1361924.0883634947,40813.50705922894,441
0.9055920441945394,0.01718921781194859,0.0366202195485433,0.0016513758934520845,squared_error,10,sqrt,4,2,200,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-1382593.0305962283,-1332478.055851826,-1292992.268762973,-1336021.1184036757,36665.0523837953,375
1.3892823855082195,0.022426245667812,0.0528115431467692,0.00076054391516993,squared_error,10,sqrt,4,2,300,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",-1380862.6348236536,-1333117.9033112614,-1310338.9109816079,-1341439.816372174,29386.3866881966,387
