Crop,N_test,RMSE,MAE,MSE,R2,MAPE
Barley,221,662.5568991599763,514.829921406077,438981.6446244831,0.8342124606262719,0.17466331113644817
Wheat,220,667.3909485609086,520.2378485582424,445410.6782210293,0.8952001060560115,0.14190498856844594
Maize,169,1407.8582814657673,1159.8332782870054,1982064.9406917433,0.6994797556674568,0.21450060555770792
