Crop,N_test,RMSE,MAE,MSE,R2,MAPE
Barley,221,512.5392189238402,379.87192902025595,262696.4509350602,0.9007890221925102,0.11945308032354708
Wheat,220,550.2077061775611,422.5568053089488,302728.51993717346,0.9287715397620243,0.1154354812663417
Maize,169,1286.4811104605767,1036.1150098811943,1655033.6475718783,0.749064167406494,0.20876718644335793
