mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.2139608065287272,0.03329218630651105,0.006687323252360026,0.0003355451240619133,0.8,0.05,3,100,0.6,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.6}",-1595486.1993942,-1443608.6880253823,-1524639.2372621633,-1521244.7082272486,62050.17719782914,475
0.1666698455810547,0.002545306375988159,0.010404109954833984,0.0019381255070387818,0.8,0.05,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-1607666.0691172988,-1489647.7129420128,-1530570.4444998885,-1542628.0755197334,48929.356886142225,476
0.16480549176534018,0.0006428180323330905,0.006465355555216472,0.00030125596111593353,0.8,0.05,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-1676341.1728482193,-1539394.6586671139,-1579398.6786480043,-1598378.1700544457,57496.39268176928,480
0.2932995955149333,0.0043083688240290385,0.00721438725789388,0.0003997792294701364,0.8,0.05,3,200,0.6,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.6}",-1375211.6326471374,-1249779.9533646482,-1304005.157407971,-1309665.5811399189,51363.45548815298,458
0.3038342793782552,0.011169382676809472,0.006926377614339192,0.00020549379565509422,0.8,0.05,3,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",-1382265.7877411246,-1268877.079818262,-1281784.6327297285,-1310975.8334297051,50684.28040220358,459
0.2892455259958903,0.0024997626497766322,0.007071336110432942,0.00023953101456197754,0.8,0.05,3,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",-1440138.8123007684,-1313389.8247006738,-1363517.8546947362,-1372348.8305653927,52120.4762419616,472
0.44160890579223633,0.013052258588155851,0.008198738098144531,0.00016172350083192732,0.8,0.05,3,300,0.6,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.6}",-1271650.8111298503,-1145319.239464962,-1210711.334173921,-1209227.1282562444,51585.32511115125,400
0.4339377085367839,0.000883508663590934,0.008609135945638021,0.0003246712120864238,0.8,0.05,3,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",-1279060.436757639,-1172303.633964486,-1197719.1323513188,-1216361.067691148,45533.10188251197,404
0.454528013865153,0.014409775622406073,0.008176088333129883,0.00010494552866478803,0.8,0.05,3,300,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",-1327418.5716371099,-1209597.6796003464,-1253636.7586506929,-1263551.0032960495,48608.365776895225,441
0.5784318447113037,0.012000375065026353,0.00950320561726888,0.0004861645128359715,0.8,0.05,3,400,0.6,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 400, 'subsample': 0.6}",-1214935.203245071,-1095788.9923717529,-1147023.8651406416,-1152582.686919155,48799.79689876626,338
0.5711890061696371,0.013133662869082999,0.013252655665079752,0.00547092245941493,0.8,0.05,3,400,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 400, 'subsample': 0.8}",-1204007.1638637262,-1114279.5281060466,-1135350.4214241146,-1151212.3711312958,38309.81807187782,336
0.5732587973276774,0.008593698968427816,0.009728749593098959,0.0006281935299239115,0.8,0.05,3,400,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 400, 'subsample': 1.0}",-1251085.0806172714,-1153960.3436271406,-1210139.5875501581,-1205061.67059819,39813.25210093436,398
0.4762697219848633,0.020425393482832007,0.007895231246948242,0.0004733921216567199,0.8,0.05,5,100,0.6,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.6}",-1226450.2226023483,-1125902.535441762,-1161255.0156978255,-1171202.591247312,41646.72890572428,369
0.473485787709554,0.00190437562359412,0.0071675777435302734,0.00023343610036225668,0.8,0.05,5,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",-1184188.770108193,-1140152.5024141585,-1231682.9118322704,-1185341.394784874,37376.02056395488,383
0.6566949685414633,0.21549636148768245,0.013058980305989584,0.008310101314922949,0.8,0.05,5,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",-1198204.3189193695,-1139103.3500549498,-1241819.1734813047,-1193042.2808185413,42092.121777155495,391
1.1949102878570557,0.11108495103467235,0.01136000951131185,0.0011189049424718182,0.8,0.05,5,200,0.6,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.6}",-1033684.7416641779,-983795.7806159678,-989718.9087578461,-1002399.8103459972,22253.55488356464,104
