AREA,ITEM,YEAR,YIELD,AREA_HARVESTED,PRODUCTION_QUANTITY,WB_CCKP_CDD,WB_CCKP_CDD65,WB_CCKP_CSDI,WB_CCKP_CWD,WB_CCKP_FD,WB_CCKP_HD30,WB_CCKP_HD35,WB_CCKP_HD40,WB_CCKP_HD42,WB_CCKP_HD45,WB_CCKP_HD50,WB_CCKP_HDD65,WB_CCKP_HI35,WB_CCKP_HI37,WB_CCKP_HI39,WB_CCKP_HI41,WB_CCKP_HURS,WB_CCKP_ID,WB_CCKP_PR,WB_CCKP_R20MM,WB_CCKP_R50MM,WB_CCKP_R95PTOT,WB_CCKP_RX1DAY,WB_CCKP_RX5DAY,WB_CCKP_SD,WB_CCKP_TAS,WB_CCKP_TASMAX,WB_CCKP_TASMIN,WB_CCKP_TNN,WB_CCKP_TR,WB_CCKP_TR23,WB_CCKP_TR26,WB_CCKP_TR29,WB_CCKP_TR32,WB_CCKP_TX84RR,WB_CCKP_TXX,WB_CCKP_WSDI
Bulgaria,Wheat,2002,3012.3,1368627.0,4122765.0,24.94,613.99,5.41,9.29,36.7,0.41,0.0,0.0,0.0,0.0,0.0,5089.81,0.0,0.0,0.0,0.0,73.53,328.3,879.4,6.71,0.33,377.64,45.48,83.02,69.18,11.52,11.52,11.52,-14.39,69.18,29.05,8.14,0.96,0.07,0.1,27.89,8.17
Bulgaria,Wheat,2003,2382.8,841014.0,2003937.0,21.7,762.22,3.17,7.35,52.51,0.1,0.0,0.0,0.0,0.0,0.0,5650.71,0.0,0.0,0.0,0.0,72.3,312.49,709.24,4.79,0.17,276.12,38.4,72.24,82.97,10.89,10.89,10.89,-14.16,82.96,41.04,8.63,0.59,0.0,0.17,27.05,9.11
Bulgaria,Wheat,2004,3810.0,1039680.0,3961178.0,18.35,451.81,1.09,8.32,42.28,0.02,0.0,0.0,0.0,0.0,0.0,5185.36,0.0,0.0,0.0,0.0,73.45,323.72,718.2,3.35,0.09,235.45,36.01,70.13,58.49,11.15,11.15,11.15,-14.62,58.49,16.83,1.83,0.06,0.0,0.06,25.7,0.3
Bulgaria,Wheat,2005,3156.7,1101807.0,3478066.0,20.45,445.49,5.5,10.06,40.05,0.01,0.0,0.0,0.0,0.0,0.0,5456.56,0.0,0.0,0.0,0.0,75.75,324.95,1028.61,9.39,0.51,561.46,48.25,98.49,56.1,10.71,10.71,10.71,-17.32,56.1,17.56,2.48,0.05,0.0,0.05,25.96,0.24
Bulgaria,Wheat,2006,3402.6,970392.0,3301882.0,19.22,611.1,1.32,7.47,45.08,0.03,0.0,0.0,0.0,0.0,0.0,5396.9,0.0,0.0,0.0,0.0,73.53,319.92,742.0,4.56,0.2,325.85,38.0,63.77,68.19,11.05,11.05,11.05,-17.59,68.19,31.66,6.1,0.32,0.0,0.11,27.66,0.18
Bulgaria,Wheat,2007,2197.3,1087996.0,2390610.0,25.35,870.54,0.0,9.35,23.82,2.44,0.01,0.0,0.0,0.0,0.0,4857.1,0.0,0.0,0.0,0.0,69.97,341.18,785.78,7.54,0.27,415.22,41.6,83.07,82.34,12.27,12.27,12.27,-8.28,82.34,47.83,18.67,4.76,0.41,0.31,30.39,23.91
Bulgaria,Wheat,2008,4167.4,1111533.0,4632210.0,32.54,741.26,3.36,6.86,35.44,0.06,0.0,0.0,0.0,0.0,0.0,4996.91,0.0,0.0,0.0,0.0,71.52,330.56,617.78,3.92,0.09,246.91,36.18,73.33,79.03,11.87,11.87,11.87,-15.73,79.03,41.54,9.1,0.32,0.0,0.18,26.52,2.79
Bulgaria,Wheat,2009,3187.3,1247718.0,3976852.0,20.11,648.9,0.63,9.73,33.93,0.05,0.0,0.0,0.0,0.0,0.0,4941.43,0.0,0.0,0.0,0.0,73.41,331.07,777.85,4.2,0.03,330.85,34.2,59.45,76.35,11.8,11.8,11.8,-13.03,76.35,31.33,5.08,0.35,0.0,0.11,27.69,4.9
Bulgaria,Wheat,2010,3618.5,1131565.0,4094597.0,20.73,725.85,11.4,8.54,44.87,0.04,0.0,0.0,0.0,0.0,0.0,5058.04,0.0,0.0,0.0,0.0,75.22,320.13,870.47,5.23,0.07,374.01,34.28,64.76,76.14,11.74,11.74,11.74,-17.76,76.14,38.08,12.29,0.53,0.0,0.14,27.01,6.67
Bulgaria,Wheat,2011,3919.7,1137462.0,4458492.0,31.67,689.73,13.33,8.18,43.94,0.01,0.0,0.0,0.0,0.0,0.0,5544.6,0.0,0.0,0.0,0.0,72.28,321.06,622.91,3.02,0.18,242.2,39.4,64.74,79.85,10.94,10.94,10.94,-12.16,79.85,34.2,5.34,0.17,0.0,0.14,26.13,5.89
Bulgaria,Wheat,2012,3759.6,1185007.0,4455104.0,27.49,1022.33,4.26,10.0,53.89,1.16,0.0,0.0,0.0,0.0,0.0,5209.32,0.0,0.0,0.0,0.0,69.87,312.11,714.52,5.9,0.27,351.49,42.84,74.64,99.4,11.98,11.98,11.98,-18.9,99.4,54.73,23.56,3.66,0.09,0.34,29.08,23.46
Bulgaria,Wheat,2013,4188.5,1314288.0,5504941.0,28.81,706.77,7.23,7.73,27.53,0.02,0.0,0.0,0.0,0.0,0.0,4794.75,0.0,0.0,0.0,0.0,72.1,337.47,698.32,4.55,0.11,316.09,36.3,63.5,78.83,12.11,12.11,12.11,-12.75,78.83,37.57,6.63,0.12,0.0,0.12,26.15,13.0
Bulgaria,Wheat,2014,4217.2,1267914.0,5347078.0,16.67,558.35,0.95,11.08,19.42,0.0,0.0,0.0,0.0,0.0,0.0,4796.53,0.0,0.0,0.0,0.0,77.52,345.58,1114.13,9.12,0.38,577.01,47.0,98.92,68.31,11.88,11.88,11.88,-12.21,68.31,25.2,3.02,0.02,0.0,0.06,25.94,3.34
Bulgaria,Wheat,2015,4531.6,1105916.0,5011597.0,28.21,738.4,0.09,7.35,22.52,0.21,0.0,0.0,0.0,0.0,0.0,4857.24,0.0,0.0,0.0,0.0,72.08,342.48,778.36,6.83,0.33,398.44,40.68,73.45,77.25,12.06,12.06,12.06,-15.28,77.25,38.61,12.03,0.8,0.0,0.2,27.55,9.93
Bulgaria,Wheat,2016,4748.3,1192590.0,5662721.0,25.4,774.68,5.27,9.88,35.8,0.03,0.0,0.0,0.0,0.0,0.0,4952.14,0.0,0.0,0.0,0.0,71.79,330.2,756.24,4.33,0.33,336.66,45.93,64.22,82.95,11.99,11.99,11.99,-16.36,82.95,43.05,9.76,0.21,0.0,0.16,26.88,10.05
Bulgaria,Wheat,2017,5358.3,1144519.0,6132671.0,19.7,778.88,6.16,7.43,41.34,0.84,0.0,0.0,0.0,0.0,0.0,5169.81,0.0,0.0,0.0,0.0,71.27,323.66,804.79,6.67,0.32,417.15,46.76,72.1,78.81,11.65,11.65,11.65,-17.08,78.81,42.64,13.4,2.26,0.07,0.24,28.68,14.72
Bulgaria,Wheat,2018,4912.9,1212010.0,5954520.0,26.14,676.27,4.01,11.0,32.84,0.0,0.0,0.0,0.0,0.0,0.0,4798.08,0.0,0.0,0.0,0.0,74.42,332.16,822.16,3.48,0.12,364.94,31.43,68.3,81.28,12.06,12.06,12.06,-14.8,81.28,33.49,2.13,0.0,0.0,0.08,24.3,19.09
Bulgaria,Wheat,2019,5272.2,1198680.0,6319630.0,34.43,735.32,1.09,7.86,21.63,0.02,0.0,0.0,0.0,0.0,0.0,4477.51,0.0,0.0,0.0,0.0,71.46,343.37,674.86,3.63,0.07,255.92,34.16,63.01,83.96,12.64,12.64,12.64,-11.37,83.96,38.22,6.35,0.14,0.0,0.15,25.74,19.6
Bulgaria,Wheat,2020,4039.3,1200180.0,4847940.0,24.19,754.83,1.47,9.48,17.34,0.12,0.0,0.0,0.0,0.0,0.0,4722.99,0.0,0.0,0.0,0.0,70.68,348.66,709.29,4.06,0.02,300.7,34.13,63.12,85.21,12.31,12.31,12.31,-9.84,85.21,38.97,7.56,0.45,0.0,0.15,26.87,7.45
Bulgaria,Wheat,2021,6087.8,1206190.0,7342990.0,22.87,771.32,0.23,11.37,24.33,1.08,0.0,0.0,0.0,0.0,0.0,5153.08,0.0,0.0,0.0,0.0,71.72,340.67,888.99,6.8,0.13,465.33,37.43,93.1,74.54,11.66,11.66,11.66,-13.1,74.54,43.67,15.13,2.56,0.04,0.27,28.9,15.21
Bulgaria,Wheat,2022,5343.8,1206580.0,6447770.0,29.51,797.66,2.06,6.98,27.05,0.19,0.0,0.0,0.0,0.0,0.0,4819.5,0.0,0.0,0.0,0.0,68.28,337.95,581.45,3.56,0.08,245.43,33.33,69.11,83.6,12.21,12.21,12.21,-11.77,83.6,43.9,11.64,0.76,0.0,0.19,26.95,7.64
Croatia,Barley,1992,3249.2,32873.0,106811.0,23.99,647.8,2.27,11.15,23.16,0.0,0.0,0.0,0.0,0.0,0.0,4724.16,0.0,0.0,0.0,0.0,71.18,342.84,983.16,11.23,0.82,435.6,42.88,97.95,70.65,12.15,12.15,12.15,-8.95,70.65,32.38,9.77,0.0,0.0,0.18,26.98,0.32
Croatia,Barley,1993,3433.2,36605.0,125671.0,20.82,599.53,27.62,8.41,42.79,0.0,0.0,0.0,0.0,0.0,0.0,5128.03,0.0,0.0,0.0,0.0,72.73,322.21,1040.94,12.34,1.1,471.15,50.33,96.81,66.8,11.44,11.44,11.44,-15.21,66.8,30.16,6.74,0.06,0.0,0.15,27.1,0.53
Croatia,Barley,1994,2976.1,36225.0,107810.0,19.49,827.24,11.93,6.67,19.89,0.05,0.0,0.0,0.0,0.0,0.0,4499.68,0.0,0.0,0.0,0.0,73.37,345.11,925.11,9.5,0.26,364.32,39.72,72.04,86.69,12.74,12.74,12.74,-12.25,86.69,46.22,11.95,0.36,0.0,0.19,27.74,3.61
Croatia,Barley,1995,3176.1,32518.0,103281.0,30.3,502.12,2.99,8.19,24.24,0.0,0.0,0.0,0.0,0.0,0.0,4893.64,0.0,0.0,0.0,0.0,74.47,340.76,1264.15,13.55,1.43,536.53,50.52,92.16,59.85,11.65,11.65,11.65,-7.93,59.85,24.25,2.29,0.01,0.0,0.07,25.83,0.04
Croatia,Barley,1996,2838.5,31034.0,88091.0,16.73,423.19,7.44,10.73,48.9,0.0,0.0,0.0,0.0,0.0,0.0,5429.22,0.0,0.0,0.0,0.0,75.79,317.1,1202.04,12.61,1.0,458.44,52.52,95.42,55.04,10.73,10.73,10.73,-15.46,55.04,16.35,1.9,0.01,0.0,0.04,25.9,1.3
Croatia,Barley,1997,3213.8,33759.0,108496.0,17.96,520.03,9.96,7.09,23.21,0.0,0.0,0.0,0.0,0.0,0.0,4984.13,0.0,0.0,0.0,0.0,73.28,341.79,1035.22,10.86,0.8,414.29,51.71,91.2,71.71,11.54,11.54,11.54,-7.79,71.71,16.93,0.68,0.0,0.0,0.04,24.99,1.46
Croatia,Barley,1998,3358.0,42737.0,143510.0,26.38,683.52,7.97,8.63,34.75,0.2,0.0,0.0,0.0,0.0,0.0,4954.44,0.0,0.0,0.0,0.0,73.43,330.25,1064.39,11.16,0.78,437.0,48.12,94.97,69.44,11.83,11.83,11.83,-11.08,69.44,38.06,11.23,0.74,0.0,0.17,27.95,7.59
Croatia,Barley,1999,2805.4,44517.0,124890.0,14.42,597.85,0.78,9.44,32.83,0.05,0.0,0.0,0.0,0.0,0.0,4709.31,0.0,0.0,0.0,0.0,75.67,332.17,1216.18,12.72,0.78,465.18,51.64,90.7,73.34,12.08,12.08,12.08,-9.57,73.34,24.79,3.97,0.15,0.0,0.08,27.0,0.29
Croatia,Barley,2000,3236.3,55511.0,179652.0,19.63,727.86,4.19,8.51,21.85,0.04,0.0,0.0,0.0,0.0,0.0,4197.74,0.0,0.0,0.0,0.0,70.51,344.15,933.88,9.06,0.83,319.63,40.65,91.92,76.9,13.07,13.07,13.07,-15.23,76.9,38.75,11.11,0.56,0.0,0.22,28.05,10.91
Croatia,Barley,2001,3134.9,61267.0,192067.0,20.43,647.17,4.6,7.93,30.45,0.08,0.0,0.0,0.0,0.0,0.0,4671.01,0.0,0.0,0.0,0.0,73.03,334.55,1109.77,11.21,0.45,372.61,44.84,94.41,68.82,12.21,12.21,12.21,-14.13,68.82,35.48,7.35,0.39,0.0,0.15,27.55,2.46
Croatia,Barley,2002,3375.8,61165.0,206478.0,15.68,608.22,1.14,9.95,25.33,0.09,0.0,0.0,0.0,0.0,0.0,4328.3,0.0,0.0,0.0,0.0,74.73,339.67,1242.8,13.75,0.79,484.72,47.41,109.59,70.41,12.67,12.67,12.67,-11.6,70.41,27.67,5.18,0.24,0.0,0.1,27.44,6.67
Croatia,Barley,2003,2464.6,65001.0,160203.0,22.02,1050.71,8.71,7.36,38.21,0.29,0.0,0.0,0.0,0.0,0.0,4971.9,0.0,0.0,0.0,0.0,68.87,326.79,813.34,7.68,0.36,266.64,36.42,83.18,101.42,12.37,12.37,12.37,-14.44,101.42,61.05,22.66,1.41,0.01,0.36,28.38,19.73
Croatia,Barley,2004,3518.1,67538.0,237603.0,17.11,540.19,0.08,10.72,32.4,0.02,0.0,0.0,0.0,0.0,0.0,4881.05,0.0,0.0,0.0,0.0,74.38,333.6,1266.79,13.7,0.77,513.61,44.28,86.47,63.03,11.74,11.74,11.74,-11.45,63.03,25.59,4.3,0.13,0.0,0.1,26.97,1.16
Croatia,Barley,2005,3228.6,50341.0,162530.0,18.68,538.75,9.67,9.67,42.75,0.03,0.0,0.0,0.0,0.0,0.0,5244.24,0.0,0.0,0.0,0.0,74.21,322.25,1171.08,11.66,0.7,470.67,49.91,98.12,63.74,11.17,11.17,11.17,-14.24,63.74,23.48,5.14,0.24,0.0,0.1,27.52,0.35
Croatia,Barley,2006,3638.7,59159.0,215262.0,21.1,650.32,3.41,8.37,32.69,0.08,0.0,0.0,0.0,0.0,0.0,4758.45,0.0,0.0,0.0,0.0,73.65,332.31,993.61,9.92,0.55,422.96,44.29,83.34,66.3,12.08,12.08,12.08,-12.88,66.3,36.84,9.88,0.33,0.0,0.16,27.51,5.21
Croatia,Barley,2007,3818.1,59000.0,225265.0,19.43,773.37,5.8,8.71,17.82,0.91,0.0,0.0,0.0,0.0,0.0,4361.42,0.0,0.0,0.0,0.0,71.49,347.18,1061.39,10.95,0.46,443.81,46.07,78.78,79.12,12.87,12.87,12.87,-6.04,79.12,41.63,13.53,2.8,0.0,0.25,29.08,23.93
Croatia,Barley,2008,4258.8,65536.0,279106.0,23.46,751.93,8.19,9.01,14.49,0.0,0.0,0.0,0.0,0.0,0.0,4424.93,0.0,0.0,0.0,0.0,72.89,351.51,1101.87,11.37,0.69,441.11,45.23,91.02,80.02,12.76,12.76,12.76,-8.1,80.02,43.73,8.77,0.1,0.0,0.19,26.87,3.7
Croatia,Barley,2009,4088.5,59584.0,243609.0,18.81,758.06,8.96,11.33,26.46,0.01,0.0,0.0,0.0,0.0,0.0,4473.88,0.0,0.0,0.0,0.0,72.58,338.54,1137.94,11.2,0.52,455.58,43.51,79.09,85.73,12.68,12.68,12.68,-14.64,85.73,38.32,7.54,0.19,0.0,0.19,27.44,12.18
Croatia,Barley,2010,3281.5,52524.0,172359.0,15.19,645.75,3.62,10.6,40.5,0.05,0.0,0.0,0.0,0.0,0.0,4972.55,0.0,0.0,0.0,0.0,75.73,324.5,1433.91,17.53,0.99,661.89,55.53,110.25,70.11,11.75,11.75,11.75,-12.14,70.11,33.64,8.76,0.26,0.0,0.15,28.09,1.26
Croatia,Barley,2011,4014.3,48318.0,193961.0,28.24,817.12,8.41,8.14,33.55,0.14,0.0,0.0,0.0,0.0,0.0,4651.39,0.0,0.0,0.0,0.0,70.9,331.45,712.56,6.85,0.28,274.16,40.37,65.22,88.73,12.5,12.5,12.5,-7.16,88.73,41.87,12.17,0.82,0.0,0.26,28.38,22.68
Croatia,Barley,2012,4143.4,56905.0,235778.0,26.58,981.11,15.34,7.8,31.53,0.41,0.0,0.0,0.0,0.0,0.0,4659.95,0.0,0.0,0.0,0.0,69.76,334.47,994.78,10.48,0.7,408.12,43.62,81.33,92.72,12.75,12.75,12.75,-15.98,92.72,56.16,23.13,2.45,0.0,0.37,28.69,24.71
Croatia,Barley,2013,3742.6,53796.0,201339.0,26.4,704.13,3.18,11.24,24.05,0.26,0.0,0.0,0.0,0.0,0.0,4593.07,0.0,0.0,0.0,0.0,74.38,340.95,1268.16,13.43,0.62,581.28,44.01,89.21,69.12,12.41,12.41,12.41,-7.07,69.12,37.55,14.05,1.62,0.0,0.24,28.81,17.02
Croatia,Barley,2014,3804.0,46160.0,175592.0,14.22,494.11,0.05,10.81,10.74,0.0,0.0,0.0,0.0,0.0,0.0,3891.98,0.0,0.0,0.0,0.0,77.17,354.26,1492.96,16.92,0.98,690.74,52.12,109.89,61.28,13.16,13.16,13.16,-11.77,61.28,21.02,1.72,0.0,0.0,0.06,25.79,13.1
Croatia,Barley,2015,4426.8,43700.0,193451.0,28.71,903.8,0.0,8.45,11.5,0.47,0.0,0.0,0.0,0.0,0.0,4461.1,0.01,0.0,0.0,0.0,72.39,353.5,988.51,11.62,1.47,515.93,62.99,118.13,85.4,12.92,12.92,12.92,-10.77,85.4,52.06,20.43,2.08,0.01,0.33,28.91,13.92
Croatia,Barley,2016,4659.2,56483.0,263165.0,24.2,692.94,10.52,9.89,24.43,0.0,0.0,0.0,0.0,0.0,0.0,4523.36,0.0,0.0,0.0,0.0,73.98,341.57,1172.14,13.16,0.4,504.0,44.69,96.68,79.8,12.52,12.52,12.52,-8.99,79.8,33.53,6.88,0.1,0.0,0.13,27.2,11.55
Croatia,Barley,2017,4827.2,53950.0,260426.0,19.78,866.58,8.65,7.8,28.81,0.81,0.0,0.0,0.0,0.0,0.0,4614.77,0.0,0.0,0.0,0.0,70.1,336.19,1099.38,14.34,1.13,556.69,51.81,94.15,82.46,12.63,12.63,12.63,-13.88,82.46,48.74,18.79,2.48,0.06,0.34,29.62,17.72
Croatia,Barley,2018,4514.0,50990.0,230170.0,18.27,858.62,5.75,9.62,22.78,0.03,0.0,0.0,0.0,0.0,0.0,4225.78,0.0,0.0,0.0,0.0,74.33,342.22,1144.32,10.93,0.47,488.77,43.21,82.94,97.71,13.21,13.21,13.21,-12.38,97.71,44.37,7.78,0.18,0.0,0.16,26.64,16.24
Croatia,Barley,2019,5191.9,53660.0,278600.0,16.63,847.82,1.77,9.53,15.46,0.11,0.0,0.0,0.0,0.0,0.0,4153.09,0.0,0.0,0.0,0.0,72.41,349.54,1225.19,14.76,0.94,567.89,48.46,96.82,84.96,13.3,13.3,13.3,-6.87,84.96,52.11,11.78,0.39,0.0,0.24,27.64,20.11
Croatia,Barley,2020,4907.6,66330.0,325520.0,22.3,691.57,0.03,8.6,12.4,0.01,0.0,0.0,0.0,0.0,0.0,4244.77,0.0,0.0,0.0,0.0,71.36,353.6,1023.39,11.93,1.24,489.44,59.49,105.57,76.06,12.94,12.94,12.94,-4.59,76.06,37.21,6.69,0.14,0.0,0.16,26.81,11.01
Croatia,Barley,2021,5484.6,56480.0,309770.0,19.92,854.92,5.74,8.61,14.99,0.55,0.0,0.0,0.0,0.0,0.0,4627.97,0.0,0.0,0.0,0.0,70.88,350.01,1083.39,13.32,0.87,505.18,47.98,108.06,81.04,12.59,12.59,12.59,-6.8,81.04,48.07,20.07,1.88,0.0,0.3,28.75,14.49
Croatia,Barley,2022,5103.9,63070.0,321900.0,28.75,959.88,0.18,8.46,12.98,0.23,0.0,0.0,0.0,0.0,0.0,4193.56,0.0,0.0,0.0,0.0,70.86,352.02,946.15,10.66,0.9,403.3,52.49,99.13,99.24,13.41,13.41,13.41,-7.67,99.24,52.97,15.77,1.52,0.0,0.3,28.54,16.25
Croatia,Maize (corn),1992,4153.5,370205.0,1537663.0,23.99,647.8,2.27,11.15,23.16,0.0,0.0,0.0,0.0,0.0,0.0,4724.16,0.0,0.0,0.0,0.0,71.18,342.84,983.16,11.23,0.82,435.6,42.88,97.95,70.65,12.15,12.15,12.15,-8.95,70.65,32.38,9.77,0.0,0.0,0.18,26.98,0.32
Croatia,Maize (corn),1993,4482.2,373166.0,1672593.0,20.82,599.53,27.62,8.41,42.79,0.0,0.0,0.0,0.0,0.0,0.0,5128.03,0.0,0.0,0.0,0.0,72.73,322.21,1040.94,12.34,1.1,471.15,50.33,96.81,66.8,11.44,11.44,11.44,-15.21,66.8,30.16,6.74,0.06,0.0,0.15,27.1,0.53
Croatia,Maize (corn),1994,4552.9,370517.0,1686922.0,19.49,827.24,11.93,6.67,19.89,0.05,0.0,0.0,0.0,0.0,0.0,4499.68,0.0,0.0,0.0,0.0,73.37,345.11,925.11,9.5,0.26,364.32,39.72,72.04,86.69,12.74,12.74,12.74,-12.25,86.69,46.22,11.95,0.36,0.0,0.19,27.74,3.61
Croatia,Maize (corn),1995,4902.7,354059.0,1735854.0,30.3,502.12,2.99,8.19,24.24,0.0,0.0,0.0,0.0,0.0,0.0,4893.64,0.0,0.0,0.0,0.0,74.47,340.76,1264.15,13.55,1.43,536.53,50.52,92.16,59.85,11.65,11.65,11.65,-7.93,59.85,24.25,2.29,0.01,0.0,0.07,25.83,0.04
Croatia,Maize (corn),1996,5219.2,361268.0,1885515.0,16.73,423.19,7.44,10.73,48.9,0.0,0.0,0.0,0.0,0.0,0.0,5429.22,0.0,0.0,0.0,0.0,75.79,317.1,1202.04,12.61,1.0,458.44,52.52,95.42,55.04,10.73,10.73,10.73,-15.46,55.04,16.35,1.9,0.01,0.0,0.04,25.9,1.3
Croatia,Maize (corn),1997,5880.2,371273.0,2183144.0,17.96,520.03,9.96,7.09,23.21,0.0,0.0,0.0,0.0,0.0,0.0,4984.13,0.0,0.0,0.0,0.0,73.28,341.79,1035.22,10.86,0.8,414.29,51.71,91.2,71.71,11.54,11.54,11.54,-7.79,71.71,16.93,0.68,0.0,0.0,0.04,24.99,1.46
Croatia,Maize (corn),1998,5247.4,377818.0,1982545.0,26.38,683.52,7.97,8.63,34.75,0.2,0.0,0.0,0.0,0.0,0.0,4954.44,0.0,0.0,0.0,0.0,73.43,330.25,1064.39,11.16,0.78,437.0,48.12,94.97,69.44,11.83,11.83,11.83,-11.08,69.44,38.06,11.23,0.74,0.0,0.17,27.95,7.59
Croatia,Maize (corn),1999,5558.4,384184.0,2135452.0,14.42,597.85,0.78,9.44,32.83,0.05,0.0,0.0,0.0,0.0,0.0,4709.31,0.0,0.0,0.0,0.0,75.67,332.17,1216.18,12.72,0.78,465.18,51.64,90.7,73.34,12.08,12.08,12.08,-9.57,73.34,24.79,3.97,0.15,0.0,0.08,27.0,0.29
Croatia,Maize (corn),2000,4070.1,292431.0,1190238.0,19.63,727.86,4.19,8.51,21.85,0.04,0.0,0.0,0.0,0.0,0.0,4197.74,0.0,0.0,0.0,0.0,70.51,344.15,933.88,9.06,0.83,319.63,40.65,91.92,76.9,13.07,13.07,13.07,-15.23,76.9,38.75,11.11,0.56,0.0,0.22,28.05,10.91
Croatia,Maize (corn),2001,5665.9,305867.0,1733003.0,20.43,647.17,4.6,7.93,30.45,0.08,0.0,0.0,0.0,0.0,0.0,4671.01,0.0,0.0,0.0,0.0,73.03,334.55,1109.77,11.21,0.45,372.61,44.84,94.41,68.82,12.21,12.21,12.21,-14.13,68.82,35.48,7.35,0.39,0.0,0.15,27.55,2.46
Croatia,Maize (corn),2002,6376.7,306805.0,1956418.0,15.68,608.22,1.14,9.95,25.33,0.09,0.0,0.0,0.0,0.0,0.0,4328.3,0.0,0.0,0.0,0.0,74.73,339.67,1242.8,13.75,0.79,484.72,47.41,109.59,70.41,12.67,12.67,12.67,-11.6,70.41,27.67,5.18,0.24,0.0,0.1,27.44,6.67
Croatia,Maize (corn),2003,4199.3,304722.0,1279617.0,22.02,1050.71,8.71,7.36,38.21,0.29,0.0,0.0,0.0,0.0,0.0,4971.9,0.0,0.0,0.0,0.0,68.87,326.79,813.34,7.68,0.36,266.64,36.42,83.18,101.42,12.37,12.37,12.37,-14.44,101.42,61.05,22.66,1.41,0.01,0.36,28.38,19.73
Croatia,Maize (corn),2004,6305.4,306347.0,1931627.0,17.11,540.19,0.08,10.72,32.4,0.02,0.0,0.0,0.0,0.0,0.0,4881.05,0.0,0.0,0.0,0.0,74.38,333.6,1266.79,13.7,0.77,513.61,44.28,86.47,63.03,11.74,11.74,11.74,-11.45,63.03,25.59,4.3,0.13,0.0,0.1,26.97,1.16
Croatia,Maize (corn),2005,6918.2,318973.0,2206729.0,18.68,538.75,9.67,9.67,42.75,0.03,0.0,0.0,0.0,0.0,0.0,5244.24,0.0,0.0,0.0,0.0,74.21,322.25,1171.08,11.66,0.7,470.67,49.91,98.12,63.74,11.17,11.17,11.17,-14.24,63.74,23.48,5.14,0.24,0.0,0.1,27.52,0.35
Croatia,Maize (corn),2006,6531.2,296195.0,1934517.0,21.1,650.32,3.41,8.37,32.69,0.08,0.0,0.0,0.0,0.0,0.0,4758.45,0.0,0.0,0.0,0.0,73.65,332.31,993.61,9.92,0.55,422.96,44.29,83.34,66.3,12.08,12.08,12.08,-12.88,66.3,36.84,9.88,0.33,0.0,0.16,27.51,5.21
Croatia,Maize (corn),2007,4937.1,288549.0,1424599.0,19.43,773.37,5.8,8.71,17.82,0.91,0.0,0.0,0.0,0.0,0.0,4361.42,0.0,0.0,0.0,0.0,71.49,347.18,1061.39,10.95,0.46,443.81,46.07,78.78,79.12,12.87,12.87,12.87,-6.04,79.12,41.63,13.53,2.8,0.0,0.25,29.08,23.93
Croatia,Maize (corn),2008,7975.9,314062.0,2504940.0,23.46,751.93,8.19,9.01,14.49,0.0,0.0,0.0,0.0,0.0,0.0,4424.93,0.0,0.0,0.0,0.0,72.89,351.51,1101.87,11.37,0.69,441.11,45.23,91.02,80.02,12.76,12.76,12.76,-8.1,80.02,43.73,8.77,0.1,0.0,0.19,26.87,3.7
Croatia,Maize (corn),2009,7350.8,296910.0,2182521.0,18.81,758.06,8.96,11.33,26.46,0.01,0.0,0.0,0.0,0.0,0.0,4473.88,0.0,0.0,0.0,0.0,72.58,338.54,1137.94,11.2,0.52,455.58,43.51,79.09,85.73,12.68,12.68,12.68,-14.64,85.73,38.32,7.54,0.19,0.0,0.19,27.44,12.18
Croatia,Maize (corn),2010,6967.8,296768.0,2067815.0,15.19,645.75,3.62,10.6,40.5,0.05,0.0,0.0,0.0,0.0,0.0,4972.55,0.0,0.0,0.0,0.0,75.73,324.5,1433.91,17.53,0.99,661.89,55.53,110.25,70.11,11.75,11.75,11.75,-12.14,70.11,33.64,8.76,0.26,0.0,0.15,28.09,1.26
Croatia,Maize (corn),2011,5681.7,305130.0,1733664.0,28.24,817.12,8.41,8.14,33.55,0.14,0.0,0.0,0.0,0.0,0.0,4651.39,0.0,0.0,0.0,0.0,70.9,331.45,712.56,6.85,0.28,274.16,40.37,65.22,88.73,12.5,12.5,12.5,-7.16,88.73,41.87,12.17,0.82,0.0,0.26,28.38,22.68
Croatia,Maize (corn),2012,4337.4,299161.0,1297590.0,26.58,981.11,15.34,7.8,31.53,0.41,0.0,0.0,0.0,0.0,0.0,4659.95,0.0,0.0,0.0,0.0,69.76,334.47,994.78,10.48,0.7,408.12,43.62,81.33,92.72,12.75,12.75,12.75,-15.98,92.72,56.16,23.13,2.45,0.0,0.37,28.69,24.71
Croatia,Maize (corn),2013,6500.0,288365.0,1874372.0,26.4,704.13,3.18,11.24,24.05,0.26,0.0,0.0,0.0,0.0,0.0,4593.07,0.0,0.0,0.0,0.0,74.38,340.95,1268.16,13.43,0.62,581.28,44.01,89.21,69.12,12.41,12.41,12.41,-7.07,69.12,37.55,14.05,1.62,0.0,0.24,28.81,17.02
