Crop,N_test,RMSE,MAE,MSE,R2,MAPE
Barley,221,643.7955371531699,505.65296938156695,414472.69365833857,0.8434686077182176,0.14867229608145663
Wheat,220,705.925119280659,549.8162789078306,498330.2740314126,0.8827487475689687,0.13424260266409718
Maize,169,1628.375397686967,1282.7505589663403,2651606.435792188,0.59796402347952,0.22753596321767394
