mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_n_iter_no_change,param_solver,param_tol,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3.333831707636515,0.06698272818719705,0.005190451939900716,0.0010892047359752877,relu,1e-05,"(128,)",0.0005,300,10.0,adam,0.001,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0005, 'max_iter': 300, 'n_iter_no_change': 10, 'solver': 'adam', 'tol': 0.001}",-14777119.146543276,-13562283.156371983,-14093873.58168968,-14144425.294868313,497241.20741871843,361
4.099408547083537,0.22435521754751508,0.007747252782185872,0.003058811757103819,relu,1e-05,"(128,)",0.0005,300,10.0,adam,0.0001,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0005, 'max_iter': 300, 'n_iter_no_change': 10, 'solver': 'adam', 'tol': 0.0001}",-14777119.146543276,-13562283.156371983,-14093873.58168968,-14144425.294868313,497241.20741871843,361
5.8015594482421875,0.5839450467276186,0.006893475850423177,0.0028120693296910136,relu,1e-05,"(128,)",0.0005,500,10.0,adam,0.001,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0005, 'max_iter': 500, 'n_iter_no_change': 10, 'solver': 'adam', 'tol': 0.001}",-7466689.670231217,-7104205.823160042,-7432325.007398313,-7334406.833596524,163380.15264486216,337
5.815858364105225,0.6139383848599999,0.005646069844563802,0.0011457323057181786,relu,1e-05,"(128,)",0.0005,500,10.0,adam,0.0001,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0005, 'max_iter': 500, 'n_iter_no_change': 10, 'solver': 'adam', 'tol': 0.0001}",-7466689.670231217,-7104205.823160042,-7432325.007398313,-7334406.833596524,163380.15264486216,337
6.029043515523274,0.40098556786391043,0.0071383317311604815,0.0018719876857551025,relu,1e-05,"(256,)",0.001,300,10.0,adam,0.001,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001, 'max_iter': 300, 'n_iter_no_change': 10, 'solver': 'adam', 'tol': 0.001}",-3681555.4266513,-3685340.062568737,-3605680.813044377,-3657525.4340881384,36692.228201943755,281
5.443925142288208,0.24484051186742287,0.006178855895996094,0.001129766959198895,relu,1e-05,"(256,)",0.001,300,10.0,adam,0.0001,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001, 'max_iter': 300, 'n_iter_no_change': 10, 'solver': 'adam', 'tol': 0.0001}",-3681555.4266513,-3685340.062568737,-3605680.813044377,-3657525.4340881384,36692.228201943755,281
10.203471899032593,0.14923093857938066,0.005824089050292969,0.0005876430684601069,relu,1e-05,"(256,)",0.001,500,10.0,adam,0.001,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001, 'max_iter': 500, 'n_iter_no_change': 10, 'solver': 'adam', 'tol': 0.001}",-2726207.6685870443,-2634051.565944699,-2351165.303794126,-2570474.8461086233,159573.79343363846,223
10.074089924494425,0.3303073735588347,0.005268573760986328,0.0001098901897277579,relu,1e-05,"(256,)",0.001,500,10.0,adam,0.0001,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001, 'max_iter': 500, 'n_iter_no_change': 10, 'solver': 'adam', 'tol': 0.0001}",-2726207.6685870443,-2634051.565944699,-2351165.303794126,-2570474.8461086233,159573.79343363846,223
5.556993166605632,0.3482665421704871,0.005614121754964192,0.00016869978563960518,relu,1e-05,"(256,)",0.0005,300,10.0,adam,0.001,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0005, 'max_iter': 300, 'n_iter_no_change': 10, 'solver': 'adam', 'tol': 0.001}",-8596180.20373072,-8011907.3541927915,-8561040.865198757,-8389709.47437409,267531.337464391,343
6.312205155690511,0.35379877413682376,0.006891012191772461,0.0023316014319948093,relu,1e-05,"(256,)",0.0005,300,10.0,adam,0.0001,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0005, 'max_iter': 300, 'n_iter_no_change': 10, 'solver': 'adam', 'tol': 0.0001}",-8596180.20373072,-8011907.3541927915,-8561040.865198757,-8389709.47437409,267531.337464391,343
