Crop,N_test,RMSE,MAE,MSE,R2,MAPE
Wheat,220,681.7790046864761,510.5327429372185,464822.611231282,0.8906327065296967,0.13082700417908563
Barley,221,683.8647493379943,520.9288060735652,467670.9953871178,0.8233775272585323,0.15096907719507793
Maize,169,1582.326158312016,1219.7470310336462,2503756.071278463,0.6203810627783501,0.22401306196056184
