mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_gamma,param_kernel,param_shrinking,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.1754575570424398,0.009882898744871362,0.10714252789815266,0.0029194284581094718,0.1,0.01,scale,rbf,True,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",-6225041.13330721,-5720433.14866707,-5960136.279638659,-5968536.85387098,206090.96984296443,397
0.1615870793660482,0.0006908744136143975,0.10581143697102864,0.0030571139870236605,0.1,0.01,scale,rbf,False,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': False}",-6225041.13330721,-5720433.14866707,-5960136.279638659,-5968536.85387098,206090.96984296443,397
0.1160883108774821,0.0024035762990060236,0.04191096623738607,0.0006922263363255241,0.1,0.01,scale,linear,True,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'linear', 'shrinking': True}",-5550657.073135479,-5179198.268511027,-5369638.2192449,-5366497.853630469,151663.67903006304,355
0.12401064236958821,0.011090990190805521,0.04136474927266439,0.0003035022833973956,0.1,0.01,scale,linear,False,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'linear', 'shrinking': False}",-5550657.073135479,-5179198.268511027,-5369638.2192449,-5366497.853630469,151663.67903006304,355
0.18083834648132324,0.02645133203756652,0.1388998031616211,0.026534931303065112,0.1,0.01,auto,rbf,True,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'auto', 'kernel': 'rbf', 'shrinking': True}",-6225100.241260385,-5720566.696041597,-5960269.289634749,-5968645.40897891,206060.09494677428,417
0.26737674077351886,0.03251784458537307,0.16797971725463867,0.02501288038404347,0.1,0.01,auto,rbf,False,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'auto', 'kernel': 'rbf', 'shrinking': False}",-6225100.241260385,-5720566.696041597,-5960269.289634749,-5968645.40897891,206060.09494677428,417
0.18534382184346518,0.03218478634804854,0.06261825561523438,0.015417773175027898,0.1,0.01,auto,linear,True,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'auto', 'kernel': 'linear', 'shrinking': True}",-5550657.073135479,-5179198.268511027,-5369638.2192449,-5366497.853630469,151663.67903006304,355
0.20276800791422525,0.024302241899490085,0.07490166028340657,0.0085688547687274,0.1,0.01,auto,linear,False,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'auto', 'kernel': 'linear', 'shrinking': False}",-5550657.073135479,-5179198.268511027,-5369638.2192449,-5366497.853630469,151663.67903006304,355
0.19195342063903809,0.03888174037334825,0.10940106709798177,0.008986320572268884,0.1,0.01,0.1,rbf,True,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 0.1, 'kernel': 'rbf', 'shrinking': True}",-6231353.874894726,-5725019.673801561,-5963548.0134981135,-5973307.187398133,206825.22719367285,431
0.15906469027201334,0.0010200714008677413,0.10794464747111003,0.008096816673488313,0.1,0.01,0.1,rbf,False,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 0.1, 'kernel': 'rbf', 'shrinking': False}",-6231353.874894726,-5725019.673801561,-5963548.0134981135,-5973307.187398133,206825.22719367285,431
0.12120978037516277,0.006536753717308941,0.04356082280476888,0.0014597092997052485,0.1,0.01,0.1,linear,True,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 0.1, 'kernel': 'linear', 'shrinking': True}",-5550657.073135479,-5179198.268511027,-5369638.2192449,-5366497.853630469,151663.67903006304,355
0.11461043357849121,0.0013343579810979834,0.04188704490661621,0.0013962202785915878,0.1,0.01,0.1,linear,False,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 0.1, 'kernel': 'linear', 'shrinking': False}",-5550657.073135479,-5179198.268511027,-5369638.2192449,-5366497.853630469,151663.67903006304,355
0.16031591097513834,0.001732301032498459,0.102264404296875,0.0007638441870621287,0.1,0.05,scale,rbf,True,"{'C': 0.1, 'epsilon': 0.05, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",-6225041.133307208,-5720433.14866707,-5960141.1091822535,-5968538.463718844,206090.9042357367,399
0.1671429475148519,0.004618755874647835,0.1056824525197347,0.005217755585469852,0.1,0.05,scale,rbf,False,"{'C': 0.1, 'epsilon': 0.05, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': False}",-6225041.133307208,-5720433.14866707,-5960141.1091822535,-5968538.463718844,206090.9042357367,399
0.11603903770446777,0.0012760907761032892,0.04191509882609049,0.00015483903472342453,0.1,0.05,scale,linear,True,"{'C': 0.1, 'epsilon': 0.05, 'gamma': 'scale', 'kernel': 'linear', 'shrinking': True}",-5550611.034281911,-5179231.522678019,-5369608.421563809,-5366483.659507913,151631.15008294737,349
0.11481595039367676,0.0013319761437770128,0.04165919621785482,0.0010123132953641328,0.1,0.05,scale,linear,False,"{'C': 0.1, 'epsilon': 0.05, 'gamma': 'scale', 'kernel': 'linear', 'shrinking': False}",-5550611.034281911,-5179231.522678019,-5369608.421563809,-5366483.659507913,151631.15008294737,349
0.16269493103027344,0.0011709181028792853,0.10777060190836589,0.007895249809792925,0.1,0.05,auto,rbf,True,"{'C': 0.1, 'epsilon': 0.05, 'gamma': 'auto', 'kernel': 'rbf', 'shrinking': True}",-6225100.241260385,-5720566.696041597,-5960266.918580822,-5968644.618627601,206060.1270767266,409
0.16467626889546713,0.005572763187639429,0.10211904843648274,0.0008203814897832209,0.1,0.05,auto,rbf,False,"{'C': 0.1, 'epsilon': 0.05, 'gamma': 'auto', 'kernel': 'rbf', 'shrinking': False}",-6225100.241260385,-5720566.696041597,-5960266.918580822,-5968644.618627601,206060.1270767266,409
0.11940892537434895,0.00237251266333285,0.04256916046142578,0.0003647605312964242,0.1,0.05,auto,linear,True,"{'C': 0.1, 'epsilon': 0.05, 'gamma': 'auto', 'kernel': 'linear', 'shrinking': True}",-5550611.034281911,-5179231.522678019,-5369608.421563809,-5366483.659507913,151631.15008294737,349
0.1148078441619873,0.001343953849794055,0.04294149080912272,0.0005021908177932862,0.1,0.05,auto,linear,False,"{'C': 0.1, 'epsilon': 0.05, 'gamma': 'auto', 'kernel': 'linear', 'shrinking': False}",-5550611.034281911,-5179231.522678019,-5369608.421563809,-5366483.659507913,151631.15008294737,349
